技能名,卡片类型,正面,背面,标签,出处
责任型授权,框架概览,【责任型授权】核心框架,"【核心】责任型授权<br><br>【是什么】这是什么

基于 史蒂芬·柯维《高效能人士的七个习惯》中关于「责任型授权」的核心方法。<br><br>",责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,操作步骤,【责任型授权】第1步：学习「责任型授权」的核心要点和关键方法,【责任型授权】第1步<br><br><b>操作：</b>学习「责任型授权」的核心要点和关键方法<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,操作步骤,【责任型授权】第2步：在真实场景中练习和应用所学内容,【责任型授权】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,操作步骤,【责任型授权】第3步：反思总结，将方法内化为自己的能力,【责任型授权】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 1,【责任型授权】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 2,【责任型授权】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 3,【责任型授权】练习场景<br><br>需要应用「责任型授权」的各种场景<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 4,【责任型授权】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 5,【责任型授权】练习场景<br><br>教练：「关于「责任型授权」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 6,【责任型授权】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 7,【责任型授权】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 8,【责任型授权】练习场景<br><br>1. 学习「责任型授权」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 9,【责任型授权】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 10,【责任型授权】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 11,【责任型授权】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 12,【责任型授权】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 13,【责任型授权】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
责任型授权,练习场景,【责任型授权】练习场景 14,【责任型授权】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,责任型授权 史蒂芬柯维-教练 学习责任型授权的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 牛豆豆 | TF2-3
