技能名,卡片类型,正面,背面,标签,出处
建立自己的差异化优势,框架概览,【建立自己的差异化优势】核心框架,"【核心】建立自己的差异化优势<br><br>【是什么】这是什么

基于 德鲁克《21世纪的管理挑战》中关于「建立自己的差异化优势」的核心方法。<br><br>",建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,操作步骤,【建立自己的差异化优势】第1步：学习「建立自己的差异化优势」的核心要点和关键方法,【建立自己的差异化优势】第1步<br><br><b>操作：</b>学习「建立自己的差异化优势」的核心要点和关键方法<br><br><i>来源：《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,操作步骤,【建立自己的差异化优势】第2步：在真实场景中练习和应用所学内容,【建立自己的差异化优势】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,操作步骤,【建立自己的差异化优势】第3步：反思总结，将方法内化为自己的能力,【建立自己的差异化优势】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,练习场景,【建立自己的差异化优势】练习场景 1,【建立自己的差异化优势】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,练习场景,【建立自己的差异化优势】练习场景 2,【建立自己的差异化优势】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,练习场景,【建立自己的差异化优势】练习场景 3,【建立自己的差异化优势】练习场景<br><br>需要应用「建立自己的差异化优势」的各种场景<br><br><i>运用所学的步骤进行练习</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,练习场景,【建立自己的差异化优势】练习场景 4,【建立自己的差异化优势】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,练习场景,【建立自己的差异化优势】练习场景 5,【建立自己的差异化优势】练习场景<br><br>教练：「关于「建立自己的差异化优势」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
建立自己的差异化优势,练习场景,【建立自己的差异化优势】练习场景 6,【建立自己的差异化优势】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,建立自己的差异化优势 德鲁克-教练 学习建立自己的差异化优势的核心要点和关键方法,《21世纪的管理挑战》德鲁克 | 陈冬冬 | - **日期**：
