技能名,卡片类型,正面,背面,标签,出处
用共情式安慰，帮助对方走出情绪激动的困扰,框架概览,【用共情式安慰，帮助对方走出情绪激动的困扰】核心框架,"【核心】用共情式安慰，帮助对方走出情绪激动的困扰<br><br>【是什么】这是什么

基于 桦旦纯《高情商沟通术》中关于「用共情式安慰，帮助对方走出情绪激动的困扰」的核心方法。<br><br>",用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,操作步骤,【用共情式安慰，帮助对方走出情绪激动的困扰】第1步：理解「用共情式安慰，帮助对方走出情绪激动的困扰」的核心概念和原理,【用共情式安慰，帮助对方走出情绪激动的困扰】第1步<br><br><b>操作：</b>理解「用共情式安慰，帮助对方走出情绪激动的困扰」的核心概念和原理<br><br><i>来源：《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,操作步骤,【用共情式安慰，帮助对方走出情绪激动的困扰】第2步：按照方法步骤逐步练习和应用,【用共情式安慰，帮助对方走出情绪激动的困扰】第2步<br><br><b>操作：</b>按照方法步骤逐步练习和应用<br><br><i>来源：《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,操作步骤,【用共情式安慰，帮助对方走出情绪激动的困扰】第3步：结合实际场景复盘，形成自己的经验,【用共情式安慰，帮助对方走出情绪激动的困扰】第3步<br><br><b>操作：</b>结合实际场景复盘，形成自己的经验<br><br><i>来源：《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 1,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 2,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>需要应用「用共情式安慰，帮助对方走出情绪激动的困扰」的各种场景<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 3,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 4,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>教练：「关于「用共情式安慰，帮助对方走出情绪激动的困扰」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 5,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 6,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 7,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>1. 理解「用共情式安慰，帮助对方走出情绪激动的困扰」的核心概念和原理<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 8,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>2. 按照方法步骤逐步练习和应用<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 9,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 10,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 11,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 12,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 13,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 14,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 15,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>场景中应用「用共情式安慰，帮助对方走出情绪激动的困扰」？<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 16,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 17,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
用共情式安慰，帮助对方走出情绪激动的困扰,练习场景,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景 18,【用共情式安慰，帮助对方走出情绪激动的困扰】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,用共情式安慰帮助对方走出情绪激动的困扰 桦旦纯-教练 理解用共情式安慰帮助对方走出情绪激动的困扰的核心概念和原理,《高情商沟通术》桦旦纯 | 罗湘枚 | - **日期**：
