技能名,卡片类型,正面,背面,标签,出处
用smart原则厘清目标,框架概览,【用smart原则厘清目标】核心框架,"【核心】用smart原则厘清目标<br><br>【是什么】这是什么

基于 邹鑫《小强升职记》中关于「用smart原则厘清目标」的核心方法。<br><br>",用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,操作步骤,【用smart原则厘清目标】第1步：理解「用smart原则厘清目标」的核心概念和原理,【用smart原则厘清目标】第1步<br><br><b>操作：</b>理解「用smart原则厘清目标」的核心概念和原理<br><br><i>来源：《小强升职记》邹鑫 | 王广东 | TF2-2</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,操作步骤,【用smart原则厘清目标】第2步：按照方法步骤逐步练习和应用,【用smart原则厘清目标】第2步<br><br><b>操作：</b>按照方法步骤逐步练习和应用<br><br><i>来源：《小强升职记》邹鑫 | 王广东 | TF2-2</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,操作步骤,【用smart原则厘清目标】第3步：结合实际场景复盘，形成自己的经验,【用smart原则厘清目标】第3步<br><br><b>操作：</b>结合实际场景复盘，形成自己的经验<br><br><i>来源：《小强升职记》邹鑫 | 王广东 | TF2-2</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 1,【用smart原则厘清目标】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 2,【用smart原则厘清目标】练习场景<br><br>需要应用「用smart原则厘清目标」的各种场景<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 3,【用smart原则厘清目标】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 4,【用smart原则厘清目标】练习场景<br><br>教练：「关于「用smart原则厘清目标」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 5,【用smart原则厘清目标】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 6,【用smart原则厘清目标】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 7,【用smart原则厘清目标】练习场景<br><br>1. 理解「用smart原则厘清目标」的核心概念和原理<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 8,【用smart原则厘清目标】练习场景<br><br>2. 按照方法步骤逐步练习和应用<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 9,【用smart原则厘清目标】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 10,【用smart原则厘清目标】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 11,【用smart原则厘清目标】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 12,【用smart原则厘清目标】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 13,【用smart原则厘清目标】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 14,【用smart原则厘清目标】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 15,【用smart原则厘清目标】练习场景<br><br>场景中应用「用smart原则厘清目标」？<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 16,【用smart原则厘清目标】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 17,【用smart原则厘清目标】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 18,【用smart原则厘清目标】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 19,【用smart原则厘清目标】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,练习场景,【用smart原则厘清目标】练习场景 20,【用smart原则厘清目标】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
用smart原则厘清目标,教练提示,【用smart原则厘清目标】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「用smart原则厘清目标」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,用smart原则厘清目标 邹鑫-教练 理解用smart原则厘清目标的核心概念和原理,《小强升职记》邹鑫 | 王广东 | TF2-2
