技能名,卡片类型,正面,背面,标签,出处
同理心倾听四步法,框架概览,【同理心倾听四步法】核心框架,"【核心】同理心倾听四步法<br><br>【是什么】这是什么

基于 [美] 史蒂芬·柯维《高效能人士的七个习惯（精华版）》中关于「同理心倾听四步法」的核心方法。<br><br>",同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,操作步骤,【同理心倾听四步法】第1步：第1步：按照同理心倾听四步法的要求逐步执行,【同理心倾听四步法】第1步<br><br><b>操作：</b>第1步：按照同理心倾听四步法的要求逐步执行<br><br><i>来源：《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,操作步骤,【同理心倾听四步法】第2步：第2步：按照同理心倾听四步法的要求逐步执行,【同理心倾听四步法】第2步<br><br><b>操作：</b>第2步：按照同理心倾听四步法的要求逐步执行<br><br><i>来源：《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,操作步骤,【同理心倾听四步法】第3步：第3步：按照同理心倾听四步法的要求逐步执行,【同理心倾听四步法】第3步<br><br><b>操作：</b>第3步：按照同理心倾听四步法的要求逐步执行<br><br><i>来源：《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,操作步骤,【同理心倾听四步法】第4步：第4步：按照同理心倾听四步法的要求逐步执行,【同理心倾听四步法】第4步<br><br><b>操作：</b>第4步：按照同理心倾听四步法的要求逐步执行<br><br><i>来源：《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,练习场景,【同理心倾听四步法】练习场景 1,【同理心倾听四步法】练习场景<br><br>需要应用「同理心倾听四步法」的各种场景<br><br><i>运用所学的步骤进行练习</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,练习场景,【同理心倾听四步法】练习场景 2,【同理心倾听四步法】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,练习场景,【同理心倾听四步法】练习场景 3,【同理心倾听四步法】练习场景<br><br>教练：「关于「同理心倾听四步法」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,练习场景,【同理心倾听四步法】练习场景 4,【同理心倾听四步法】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
同理心倾听四步法,练习场景,【同理心倾听四步法】练习场景 5,【同理心倾听四步法】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,同理心倾听四步法 美-史蒂芬柯维-教练 第1步按照同理心倾听四步法的要求逐步执行,《高效能人士的七个习惯（精华版）》[美] 史蒂芬·柯维 | 叫我老猫 | TF2-1
