技能名,卡片类型,正面,背面,标签,出处
自律才是最大的自由——如何培养习惯,框架概览,【自律才是最大的自由——如何培养习惯】核心框架,"【核心】自律才是最大的自由——如何培养习惯<br><br>【是什么】这是什么

基于 邹鑫《小强升职记》中关于「自律才是最大的自由——如何培养习惯」的核心方法。<br><br>",自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,操作步骤,【自律才是最大的自由——如何培养习惯】第1步：学习「自律才是最大的自由,【自律才是最大的自由——如何培养习惯】第1步<br><br><b>操作：</b>学习「自律才是最大的自由——如何培养习惯」的核心要点和关键方法<br><br><i>来源：《小强升职记》邹鑫 | 徐畅 | TF1-1</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,操作步骤,【自律才是最大的自由——如何培养习惯】第2步：在真实场景中练习和应用所学内容,【自律才是最大的自由——如何培养习惯】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《小强升职记》邹鑫 | 徐畅 | TF1-1</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,操作步骤,【自律才是最大的自由——如何培养习惯】第3步：反思总结，将方法内化为自己的能力,【自律才是最大的自由——如何培养习惯】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《小强升职记》邹鑫 | 徐畅 | TF1-1</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,练习场景,【自律才是最大的自由——如何培养习惯】练习场景 1,【自律才是最大的自由——如何培养习惯】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,练习场景,【自律才是最大的自由——如何培养习惯】练习场景 2,【自律才是最大的自由——如何培养习惯】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,练习场景,【自律才是最大的自由——如何培养习惯】练习场景 3,【自律才是最大的自由——如何培养习惯】练习场景<br><br>需要应用「自律才是最大的自由——如何培养习惯」的各种场景<br><br><i>运用所学的步骤进行练习</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,练习场景,【自律才是最大的自由——如何培养习惯】练习场景 4,【自律才是最大的自由——如何培养习惯】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,练习场景,【自律才是最大的自由——如何培养习惯】练习场景 5,【自律才是最大的自由——如何培养习惯】练习场景<br><br>教练：「关于「自律才是最大的自由——如何培养习惯」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
自律才是最大的自由——如何培养习惯,练习场景,【自律才是最大的自由——如何培养习惯】练习场景 6,【自律才是最大的自由——如何培养习惯】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,自律才是最大的自由如何培养习惯 邹鑫-教练 学习自律才是最大的自由,《小强升职记》邹鑫 | 徐畅 | TF1-1
