技能名,卡片类型,正面,背面,标签,出处
抓要事,框架概览,【抓要事】核心框架,"【核心】抓要事<br><br>【是什么】这是什么

基于 史蒂芬·柯维《高效能人士的七个习惯》中关于「抓要事」的核心方法。<br><br>【为什么】为什么重要

**（人们一般做法）**
如果没有专门的学习，我们一般不会把自己的事物按照紧迫程度和重要程度进行划分，我们会以“随遇而安”心态自我安慰，遇到什么事情解决什么事情。同时，我们也会发现周边有些人生活没计划，不会归类，没有重点。长此以往，很容易忽略我们做事的目标，人生难有成就。
**(不这么做的坏处)**如果不明确第四代时间管理方法的重点，我们就很容易被琐事所困，陷入低效能。
**(反例)",抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,操作步骤,【抓要事】第1步：列事务清单，就是把要做的所有事务一项项具体列出来。,【抓要事】第1步<br><br><b>操作：</b>列事务清单，就是把要做的所有事务一项项具体列出来。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,操作步骤,【抓要事】第2步：按四类排序，把要做的事务按重要程度和紧迫程度维度分成重要并紧迫的事情、重要不紧迫的事情、不重要紧迫的事情、不重要不紧迫的事情，归类和排序到时间管理矩阵里。,【抓要事】第2步<br><br><b>操作：</b>按四类排序，把要做的事务按重要程度和紧迫程度维度分成重要并紧迫的事情、重要不紧迫的事情、不重要紧迫的事情、不重要不紧迫的事情，归类和排序到时间管理矩阵里。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,操作步骤,【抓要事】第3步：明确并执行，所列的第二类事务是重要不紧迫的事情，并且会花80%时间精力行动。,【抓要事】第3步<br><br><b>操作：</b>明确并执行，所列的第二类事务是重要不紧迫的事情，并且会花80%时间精力行动。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,练习场景,【抓要事】练习场景 1,【抓要事】练习场景<br><br>需要应用「抓要事」的各种场景<br><br><i>运用所学的步骤进行练习</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,练习场景,【抓要事】练习场景 2,【抓要事】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,练习场景,【抓要事】练习场景 3,【抓要事】练习场景<br><br>教练：「关于「抓要事」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,练习场景,【抓要事】练习场景 4,【抓要事】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,练习场景,【抓要事】练习场景 5,【抓要事】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
抓要事,练习场景,【抓要事】练习场景 6,【抓要事】练习场景<br><br>1. 列事务清单，就是把要做的所有事务一项项具体列出来。<br><br><i>运用所学的步骤进行练习</i>,抓要事 史蒂芬柯维-教练 列事务清单就是把要做的所有事务一项项具体列出来,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF2-1
