技能名,卡片类型,正面,背面,标签,出处
移情聆听四步法,框架概览,【移情聆听四步法】核心框架,"【核心】移情聆听四步法<br><br>【是什么】这是什么

听还要学吗？我们从小到大，只要是个正常人，不是都天天在听别人说吗？但是，你真的懂得听吗？
回想一下，你有没有过心不在焉的听别人说话，听一半没另一半的情况，或者完全就抓不到别人说的意思？
现在分享的就是基于同理心的高级聆听方法，可以帮助听者充分理解讲者并获得更好的沟通效果。<br><br>【为什么】为什么重要

在家庭中，我们往往不重视家人的感受，没有好好聆听最亲近的家人导致争吵不断；在职场中，我们往往受限于思维和立场，没有好好聆听就无法构建良好的协作环境。这次学会“耳到、眼到、心到”的移情聆听，就是为了能够让我们建立人与人心的链接，达成良好的沟通。",移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,操作步骤,【移情聆听四步法】第1步：复述语句，表现专心聆听的态度。,【移情聆听四步法】第1步<br><br><b>操作：</b>复述语句，表现专心聆听的态度。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,操作步骤,【移情聆听四步法】第2步：加入解释，表达左脑理解后的话。,【移情聆听四步法】第2步<br><br><b>操作：</b>加入解释，表达左脑理解后的话。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,操作步骤,【移情聆听四步法】第3步：个人感觉，加上右脑体会情绪。,【移情聆听四步法】第3步<br><br><b>操作：</b>个人感觉，加上右脑体会情绪。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,操作步骤,【移情聆听四步法】第4步：带情解释，左右脑并带情感解释。,【移情聆听四步法】第4步<br><br><b>操作：</b>带情解释，左右脑并带情感解释。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 1,【移情聆听四步法】练习场景<br><br>移情聆听适用于家庭、朋友、同事之间的沟通，适合于商业谈判的场景。尤其在负面情绪发生时，移情聆听往往会有意想不到的效果，本质上是构建了一个同理心的沟通关系，关键是作为听者能够耐心感受到讲者的痛苦，并努力<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 2,【移情聆听四步法】练习场景<br><br>教练：「关于「移情聆听四步法」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 3,【移情聆听四步法】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 4,【移情聆听四步法】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 5,【移情聆听四步法】练习场景<br><br>1. 复述语句，表现专心聆听的态度。<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 6,【移情聆听四步法】练习场景<br><br>2. 加入解释，表达左脑理解后的话。<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 7,【移情聆听四步法】练习场景<br><br>3. 个人感觉，加上右脑体会情绪。<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 8,【移情聆听四步法】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 9,【移情聆听四步法】练习场景<br><br>场景：<让用户描述一个真实沟通/应用场景><br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 10,【移情聆听四步法】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 11,【移情聆听四步法】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 12,【移情聆听四步法】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 13,【移情聆听四步法】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 14,【移情聆听四步法】练习场景<br><br>练习场景模板<br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
移情聆听四步法,练习场景,【移情聆听四步法】练习场景 15,【移情聆听四步法】练习场景<br><br>场景 A：<职场场景><br><br><i>运用所学的步骤进行练习</i>,移情聆听四步法 史蒂芬柯维-教练 复述语句表现专心聆听的态度,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-1
