技能名,卡片类型,正面,背面,标签,出处
双赢过程四步法,框架概览,【双赢过程四步法】核心框架,"【核心】双赢过程四步法<br><br>【是什么】这是什么

很多人认为在沟通或谈判中，不是你输便是我赢，非要争个高下，让对方服从自己，然而，这种非赢即输的思维并不能给我们带来一个双赢的结果。在沟通、合作的关系中，可以满足自己的需求，也顾虑到对方的需要，创造出能够让双方都获利双赢模式的方法，简单来说就是“大家都可以是赢家”。<br><br>【为什么】为什么重要

回想一下我们过去一定有这样的情况：因为意见分歧与同事、家人产生过矛盾，认为自己不被他人理解，也不认可对方的想法，还可能会与对方的关系产生负面影响。通常输/赢竞争得到的结果，如果不是一个良好的沟通，这样会导致对方会对结果不满意，可能会有不遵守结果，或是抱怨，不甘心的接受情况。这样合作无法长久，不利人际关系。如果与他们沟通时，能达到一个让大家都满意的双赢，即节约了时间也会增加彼此的感情或",双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,操作步骤,【双赢过程四步法】第1步：换位思考 : 用对方的角度理解对方的需要和想法。,【双赢过程四步法】第1步<br><br><b>操作：</b>换位思考 : 用对方的角度理解对方的需要和想法。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,操作步骤,【双赢过程四步法】第2步：理清问题 : 理性思维分析沟通后的核心诉求，找到当前最主要的关键问题或首要顾虑。,【双赢过程四步法】第2步<br><br><b>操作：</b>理清问题 : 理性思维分析沟通后的核心诉求，找到当前最主要的关键问题或首要顾虑。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,操作步骤,【双赢过程四步法】第3步：确定结果 : 平等对话坦诚沟通，确认双方都可以接受的结果。,【双赢过程四步法】第3步<br><br><b>操作：</b>确定结果 : 平等对话坦诚沟通，确认双方都可以接受的结果。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,操作步骤,【双赢过程四步法】第4步：解决方案: 找到可以实现结果的各种途径方法，给出最终双方满意的解决方案。,【双赢过程四步法】第4步<br><br><b>操作：</b>解决方案: 找到可以实现结果的各种途径方法，给出最终双方满意的解决方案。<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,练习场景,【双赢过程四步法】练习场景 1,【双赢过程四步法】练习场景<br><br>双赢过程四步法适用于工作、生活等需要沟通谈判，当双方意见不同，而又坚持自己的想法和意见的场景。值得注意的是，应用双赢过程四步法，双方需要以相互了解和相互信任为基础，通过平等对话来达成双赢结果。<br><br><i>运用所学的步骤进行练习</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,练习场景,【双赢过程四步法】练习场景 2,【双赢过程四步法】练习场景<br><br>教练：「关于「双赢过程四步法」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,练习场景,【双赢过程四步法】练习场景 3,【双赢过程四步法】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,练习场景,【双赢过程四步法】练习场景 4,【双赢过程四步法】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
双赢过程四步法,练习场景,【双赢过程四步法】练习场景 5,【双赢过程四步法】练习场景<br><br>1. 换位思考 : 用对方的角度理解对方的需要和想法。<br><br><i>运用所学的步骤进行练习</i>,双赢过程四步法 史蒂芬柯维-教练 换位思考--用对方的角度理解对方的需要和想法,《高效能人士的七个习惯》史蒂芬·柯维 | 玥清 | TF1-2
