技能名,卡片类型,正面,背面,标签,出处
晋级TF1-1,框架概览,【晋级TF1-1】核心框架,"【核心】晋级TF1-1<br><br>【是什么】这是什么

基于 桦旦纯《高情商沟通术》中关于「晋级TF1-1」的核心方法。<br><br>",晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,操作步骤,【晋级TF1-1】第1步：学习「晋级TF1-1」的核心要点和关键方法,【晋级TF1-1】第1步<br><br><b>操作：</b>学习「晋级TF1-1」的核心要点和关键方法<br><br><i>来源：《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,操作步骤,【晋级TF1-1】第2步：在真实场景中练习和应用所学内容,【晋级TF1-1】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,操作步骤,【晋级TF1-1】第3步：反思总结，将方法内化为自己的能力,【晋级TF1-1】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,练习场景,【晋级TF1-1】练习场景 1,【晋级TF1-1】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,练习场景,【晋级TF1-1】练习场景 2,【晋级TF1-1】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,练习场景,【晋级TF1-1】练习场景 3,【晋级TF1-1】练习场景<br><br>需要应用「晋级TF1-1」的各种场景<br><br><i>运用所学的步骤进行练习</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,练习场景,【晋级TF1-1】练习场景 4,【晋级TF1-1】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,练习场景,【晋级TF1-1】练习场景 5,【晋级TF1-1】练习场景<br><br>教练：「关于「晋级TF1-1」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
晋级TF1-1,练习场景,【晋级TF1-1】练习场景 6,【晋级TF1-1】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,晋级TF1-1 桦旦纯-教练 学习晋级TF1-1的核心要点和关键方法,《高情商沟通术》桦旦纯 | 无心剑 | - **日期**：
