技能名,卡片类型,正面,背面,标签,出处
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,框架概览,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】核心框架,"【核心】在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质<br><br>【是什么】补充

建议补充：【What】这段内容讲的是什么？核心定义 + 关键概念 + 典型示例<br><br>【为什么】补充

建议补充：【Why】为什么这个技能重要？用对比方式 (不用 vs 用的结果差异)",在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 1,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>教练：「关于「在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 2,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 3,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 4,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 5,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>场景：<让用户描述一个真实沟通/应用场景><br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 6,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 7,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 8,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质,练习场景,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景 9,【在面试时，如何使用STAR提问法进行追问，识别候选人的潜在特质】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,在面试时如何使用STAR提问法进行追问识别候选人的潜在特质 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
