技能名,卡片类型,正面,背面,标签,出处
做体能精力的主人,框架概览,【做体能精力的主人】核心框架,"【核心】做体能精力的主人<br><br>【是什么】这是什么

基于 吉姆·洛尔《精力管理》中关于「做体能精力的主人」的核心方法。<br><br>",做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,操作步骤,【做体能精力的主人】第1步：学习「做体能精力的主人」的核心要点和关键方法,【做体能精力的主人】第1步<br><br><b>操作：</b>学习「做体能精力的主人」的核心要点和关键方法<br><br><i>来源：《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,操作步骤,【做体能精力的主人】第2步：在真实场景中练习和应用所学内容,【做体能精力的主人】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,操作步骤,【做体能精力的主人】第3步：反思总结，将方法内化为自己的能力,【做体能精力的主人】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,练习场景,【做体能精力的主人】练习场景 1,【做体能精力的主人】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,练习场景,【做体能精力的主人】练习场景 2,【做体能精力的主人】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,练习场景,【做体能精力的主人】练习场景 3,【做体能精力的主人】练习场景<br><br>需要应用「做体能精力的主人」的各种场景<br><br><i>运用所学的步骤进行练习</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,练习场景,【做体能精力的主人】练习场景 4,【做体能精力的主人】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,练习场景,【做体能精力的主人】练习场景 5,【做体能精力的主人】练习场景<br><br>教练：「关于「做体能精力的主人」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
做体能精力的主人,练习场景,【做体能精力的主人】练习场景 6,【做体能精力的主人】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,做体能精力的主人 吉姆洛尔-教练 学习做体能精力的主人的核心要点和关键方法,《精力管理》吉姆·洛尔 | 贺楚瑜 | - **日期**：
