技能名,卡片类型,正面,背面,标签,出处
3步让你恰当应对别人的批评,框架概览,【3步让你恰当应对别人的批评】核心框架,"【核心】3步让你恰当应对别人的批评<br><br>【是什么】这是什么

基于 赵周《拆出你的沟通力I》中关于「3步让你恰当应对别人的批评」的核心方法。<br><br>",3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,操作步骤,【3步让你恰当应对别人的批评】第1步：学习「3步让你恰当应对别人的批评」的核心要点和关键方法,【3步让你恰当应对别人的批评】第1步<br><br><b>操作：</b>学习「3步让你恰当应对别人的批评」的核心要点和关键方法<br><br><i>来源：《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,操作步骤,【3步让你恰当应对别人的批评】第2步：在真实场景中练习和应用所学内容,【3步让你恰当应对别人的批评】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,操作步骤,【3步让你恰当应对别人的批评】第3步：反思总结，将方法内化为自己的能力,【3步让你恰当应对别人的批评】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 1,【3步让你恰当应对别人的批评】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 2,【3步让你恰当应对别人的批评】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 3,【3步让你恰当应对别人的批评】练习场景<br><br>需要应用「3步让你恰当应对别人的批评」的各种场景<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 4,【3步让你恰当应对别人的批评】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 5,【3步让你恰当应对别人的批评】练习场景<br><br>教练：「关于「3步让你恰当应对别人的批评」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 6,【3步让你恰当应对别人的批评】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 7,【3步让你恰当应对别人的批评】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 8,【3步让你恰当应对别人的批评】练习场景<br><br>1. 学习「3步让你恰当应对别人的批评」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 9,【3步让你恰当应对别人的批评】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 10,【3步让你恰当应对别人的批评】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 11,【3步让你恰当应对别人的批评】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 12,【3步让你恰当应对别人的批评】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 13,【3步让你恰当应对别人的批评】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 14,【3步让你恰当应对别人的批评】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 15,【3步让你恰当应对别人的批评】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 16,【3步让你恰当应对别人的批评】练习场景<br><br>场景中应用「3步让你恰当应对别人的批评」？<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 17,【3步让你恰当应对别人的批评】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 18,【3步让你恰当应对别人的批评】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 19,【3步让你恰当应对别人的批评】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 20,【3步让你恰当应对别人的批评】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,练习场景,【3步让你恰当应对别人的批评】练习场景 21,【3步让你恰当应对别人的批评】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
3步让你恰当应对别人的批评,教练提示,【3步让你恰当应对别人的批评】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「3步让你恰当应对别人的批评」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,3步让你恰当应对别人的批评 赵周-教练 学习3步让你恰当应对别人的批评的核心要点和关键方法,《拆出你的沟通力I》赵周 | 靳福库 | - **日期**：
