技能名,卡片类型,正面,背面,标签,出处
意志力实验：失败时，请原谅自己,框架概览,【意志力实验：失败时，请原谅自己】核心框架,"【核心】意志力实验：失败时，请原谅自己<br><br>【是什么】这是什么

基于 [美]  凯利·麦格尼格尔《自控力》中关于「意志力实验：失败时，请原谅自己」的核心方法。<br><br>",意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,操作步骤,【意志力实验：失败时，请原谅自己】第1步：学习「意志力实验：失败时，请原谅自己」的核心要点和关键方法,【意志力实验：失败时，请原谅自己】第1步<br><br><b>操作：</b>学习「意志力实验：失败时，请原谅自己」的核心要点和关键方法<br><br><i>来源：《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,操作步骤,【意志力实验：失败时，请原谅自己】第2步：在真实场景中练习和应用所学内容,【意志力实验：失败时，请原谅自己】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,操作步骤,【意志力实验：失败时，请原谅自己】第3步：反思总结，将方法内化为自己的能力,【意志力实验：失败时，请原谅自己】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 1,【意志力实验：失败时，请原谅自己】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 2,【意志力实验：失败时，请原谅自己】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 3,【意志力实验：失败时，请原谅自己】练习场景<br><br>需要应用「意志力实验：失败时，请原谅自己」的各种场景<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 4,【意志力实验：失败时，请原谅自己】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 5,【意志力实验：失败时，请原谅自己】练习场景<br><br>教练：「关于「意志力实验：失败时，请原谅自己」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 6,【意志力实验：失败时，请原谅自己】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 7,【意志力实验：失败时，请原谅自己】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 8,【意志力实验：失败时，请原谅自己】练习场景<br><br>1. 学习「意志力实验：失败时，请原谅自己」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 9,【意志力实验：失败时，请原谅自己】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 10,【意志力实验：失败时，请原谅自己】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 11,【意志力实验：失败时，请原谅自己】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 12,【意志力实验：失败时，请原谅自己】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 13,【意志力实验：失败时，请原谅自己】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 14,【意志力实验：失败时，请原谅自己】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 15,【意志力实验：失败时，请原谅自己】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 16,【意志力实验：失败时，请原谅自己】练习场景<br><br>场景中应用「意志力实验：失败时，请原谅自己」？<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 17,【意志力实验：失败时，请原谅自己】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 18,【意志力实验：失败时，请原谅自己】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 19,【意志力实验：失败时，请原谅自己】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 20,【意志力实验：失败时，请原谅自己】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,练习场景,【意志力实验：失败时，请原谅自己】练习场景 21,【意志力实验：失败时，请原谅自己】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
意志力实验：失败时，请原谅自己,教练提示,【意志力实验：失败时，请原谅自己】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「意志力实验：失败时，请原谅自己」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,意志力实验失败时请原谅自己 美-凯利麦格尼格尔-教练 学习意志力实验失败时请原谅自己的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | 康炜老师 | TF1-1
