技能名,卡片类型,正面,背面,标签,出处
平衡反馈法,框架概览,【平衡反馈法】核心框架,"【核心】平衡反馈法<br><br>【是什么】补充

建议补充：【What】这段内容讲的是什么？核心定义 + 关键概念 + 典型示例<br><br>【为什么】补充

建议补充：【Why】为什么这个技能重要？用对比方式 (不用 vs 用的结果差异)",平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 1,【平衡反馈法】练习场景<br><br>教练：「关于「平衡反馈法」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 2,【平衡反馈法】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 3,【平衡反馈法】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 4,【平衡反馈法】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 5,【平衡反馈法】练习场景<br><br>场景：<让用户描述一个真实沟通/应用场景><br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 6,【平衡反馈法】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 7,【平衡反馈法】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 8,【平衡反馈法】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 9,【平衡反馈法】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 10,【平衡反馈法】练习场景<br><br>练习的结合，辅以《管理者日历》打卡，手把手带<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 11,【平衡反馈法】练习场景<br><br>> 汤君健老师的实战管理经典《带团队的方法》，将团队领导力提炼为可习得、可复制的的系统方法<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 12,【平衡反馈法】练习场景<br><br><!-- 达尔文进化 · 2026-05-22 --><br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 13,【平衡反馈法】练习场景<br><br>练习场景模板<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 14,【平衡反馈法】练习场景<br><br>场景 A：<职场场景><br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,练习场景,【平衡反馈法】练习场景 15,【平衡反馈法】练习场景<br><br>对话/情境描述...<br><br><i>运用所学的步骤进行练习</i>,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
平衡反馈法,教练提示,【平衡反馈法】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「平衡反馈法」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,平衡反馈法 汤君健-教练 带团队的方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
