技能名,卡片类型,正面,背面,标签,出处
高难度对话,框架概览,【高难度对话】核心框架,"【核心】高难度对话<br><br>【是什么】这是什么

基于 罗杰·道森《优势谈判》中关于「高难度对话」的核心方法。<br><br>",高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,操作步骤,【高难度对话】第1步：学习「高难度对话」的核心要点和关键方法,【高难度对话】第1步<br><br><b>操作：</b>学习「高难度对话」的核心要点和关键方法<br><br><i>来源：《优势谈判》罗杰·道森 | 罗导运 | - **日期**：</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,操作步骤,【高难度对话】第2步：在真实场景中练习和应用所学内容,【高难度对话】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《优势谈判》罗杰·道森 | 罗导运 | - **日期**：</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,操作步骤,【高难度对话】第3步：反思总结，将方法内化为自己的能力,【高难度对话】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《优势谈判》罗杰·道森 | 罗导运 | - **日期**：</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 1,【高难度对话】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 2,【高难度对话】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 3,【高难度对话】练习场景<br><br>需要应用「高难度对话」的各种场景<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 4,【高难度对话】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 5,【高难度对话】练习场景<br><br>教练：「关于「高难度对话」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 6,【高难度对话】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 7,【高难度对话】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 8,【高难度对话】练习场景<br><br>1. 学习「高难度对话」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 9,【高难度对话】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 10,【高难度对话】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 11,【高难度对话】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 12,【高难度对话】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 13,【高难度对话】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 14,【高难度对话】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 15,【高难度对话】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 16,【高难度对话】练习场景<br><br>场景中应用「高难度对话」？<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 17,【高难度对话】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 18,【高难度对话】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 19,【高难度对话】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
高难度对话,练习场景,【高难度对话】练习场景 20,【高难度对话】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,高难度对话 罗杰道森-教练 学习高难度对话的核心要点和关键方法,《优势谈判》罗杰·道森 | 罗导运 | - **日期**：
