技能名,卡片类型,正面,背面,标签,出处
拆书七步曲,框架概览,【拆书七步曲】核心框架,"【核心】拆书七步曲<br><br>【是什么】这是什么

基于 赵周《这样读书就够了》中关于「拆书七步曲」的核心方法。<br><br>",拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第1步：第1步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第1步<br><br><b>操作：</b>第1步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第2步：第2步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第2步<br><br><b>操作：</b>第2步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第3步：第3步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第3步<br><br><b>操作：</b>第3步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第4步：第4步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第4步<br><br><b>操作：</b>第4步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第5步：第5步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第5步<br><br><b>操作：</b>第5步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第6步：第6步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第6步<br><br><b>操作：</b>第6步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,操作步骤,【拆书七步曲】第7步：第7步：按照拆书七步曲的要求逐步执行,【拆书七步曲】第7步<br><br><b>操作：</b>第7步：按照拆书七步曲的要求逐步执行<br><br><i>来源：《这样读书就够了》赵周 | 韧木 | TF2-2</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 1,【拆书七步曲】练习场景<br><br>需要应用「拆书七步曲」的各种场景<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 2,【拆书七步曲】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 3,【拆书七步曲】练习场景<br><br>教练：「关于「拆书七步曲」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 4,【拆书七步曲】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 5,【拆书七步曲】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 6,【拆书七步曲】练习场景<br><br>1. 第1步：按照拆书七步曲的要求逐步执行<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 7,【拆书七步曲】练习场景<br><br>2. 第2步：按照拆书七步曲的要求逐步执行<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
拆书七步曲,练习场景,【拆书七步曲】练习场景 8,【拆书七步曲】练习场景<br><br>3. 第3步：按照拆书七步曲的要求逐步执行<br><br><i>运用所学的步骤进行练习</i>,拆书七步曲 赵周-教练 第1步按照拆书七步曲的要求逐步执行,《这样读书就够了》赵周 | 韧木 | TF2-2
