技能名,卡片类型,正面,背面,标签,出处
凭感觉做顶级成长,框架概览,【凭感觉做顶级成长】核心框架,"【核心】凭感觉做顶级成长<br><br>【是什么】这是什么

**
从拆页中可以了解：凭感觉不是任性妄为，而是找对成长方向、不焦虑的好方法，核心就是找适合自己、跳一跳能学会的内容，只抓一个最有感觉的点扎实做，实现实实在在的成长。

凭感觉有四个关键词：
1. 感知：不钻牛角尖、不偷懒，找不太难、不简单，踮踮脚能学会的内容，不熬困难区、不躺舒适区。
2. 触动：不贪多，只找最戳自己、印象最深的那一个点。
3. 确认：问问自己，这个触动点真的让自己开<br><br>",凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,操作步骤,【凭感觉做顶级成长】第1步：感知：不钻牛角尖、不偷懒，找不太难、不简单，踮踮脚能学会的内容，不熬困难区、不躺舒适区。,【凭感觉做顶级成长】第1步<br><br><b>操作：</b>感知：不钻牛角尖、不偷懒，找不太难、不简单，踮踮脚能学会的内容，不熬困难区、不躺舒适区。<br><br><i>来源：《认知觉醒》周岭 | 玥清 | TF3-1</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,操作步骤,【凭感觉做顶级成长】第2步：触动：不贪多，只找最戳自己、印象最深的那一个点。,【凭感觉做顶级成长】第2步<br><br><b>操作：</b>触动：不贪多，只找最戳自己、印象最深的那一个点。<br><br><i>来源：《认知觉醒》周岭 | 玥清 | TF3-1</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,操作步骤,【凭感觉做顶级成长】第3步：确认：问问自己，这个触动点真的让自己开心、愿意花时间琢磨吗？适合自己就选它。,【凭感觉做顶级成长】第3步<br><br><b>操作：</b>确认：问问自己，这个触动点真的让自己开心、愿意花时间琢磨吗？适合自己就选它。<br><br><i>来源：《认知觉醒》周岭 | 玥清 | TF3-1</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,操作步骤,【凭感觉做顶级成长】第4步：行动：不搞大计划，从最小行动开始，抓住一个点深入做、落地实践。,【凭感觉做顶级成长】第4步<br><br><b>操作：</b>行动：不搞大计划，从最小行动开始，抓住一个点深入做、落地实践。<br><br><i>来源：《认知觉醒》周岭 | 玥清 | TF3-1</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,练习场景,【凭感觉做顶级成长】练习场景 1,【凭感觉做顶级成长】练习场景<br><br>场景，咱们一个一个叠加着来，结合场景再加深一遍印象，希望大家听完就彻底明白。<br><br><i>运用所学的步骤进行练习</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,练习场景,【凭感觉做顶级成长】练习场景 2,【凭感觉做顶级成长】练习场景<br><br>场景 1：0 个关键词（完全没有凭感觉）<br><br><i>运用所学的步骤进行练习</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,练习场景,【凭感觉做顶级成长】练习场景 3,【凭感觉做顶级成长】练习场景<br><br>特别简单，平时根本不读书，突然拿到一本书，脑子一热就立flag：一天之内必须读完，恨不得一口吃成胖子。<br><br><i>运用所学的步骤进行练习</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,练习场景,【凭感觉做顶级成长】练习场景 4,【凭感觉做顶级成长】练习场景<br><br>学习只是冰山一角，“凭感觉” 适用于生活的方方面面，尤其在面临重大的人生问题时，如选择伴侣、职业转型、寻找人生目标、沟通合作伙伴等。<br><br><i>运用所学的步骤进行练习</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
凭感觉做顶级成长,练习场景,【凭感觉做顶级成长】练习场景 5,【凭感觉做顶级成长】练习场景<br><br>**【how】**<br><br><i>运用所学的步骤进行练习</i>,凭感觉做顶级成长 周岭-教练 感知不钻牛角尖不偷懒找不太难不简单踮踮脚能学会的内容不熬困难区不躺舒适区,《认知觉醒》周岭 | 玥清 | TF3-1
