技能名,卡片类型,正面,背面,标签,出处
用故事来展示自己的优点,框架概览,【用故事来展示自己的优点】核心框架,"【核心】用故事来展示自己的优点<br><br>【是什么】这是什么

基于 【美】埃米尼亚·伊贝拉《逆向管理》中关于「用故事来展示自己的优点」的核心方法。<br><br>",用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,操作步骤,【用故事来展示自己的优点】第1步：学习「用故事来展示自己的优点」的核心要点和关键方法,【用故事来展示自己的优点】第1步<br><br><b>操作：</b>学习「用故事来展示自己的优点」的核心要点和关键方法<br><br><i>来源：《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,操作步骤,【用故事来展示自己的优点】第2步：在真实场景中练习和应用所学内容,【用故事来展示自己的优点】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,操作步骤,【用故事来展示自己的优点】第3步：反思总结，将方法内化为自己的能力,【用故事来展示自己的优点】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 1,【用故事来展示自己的优点】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 2,【用故事来展示自己的优点】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 3,【用故事来展示自己的优点】练习场景<br><br>需要应用「用故事来展示自己的优点」的各种场景<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 4,【用故事来展示自己的优点】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 5,【用故事来展示自己的优点】练习场景<br><br>教练：「关于「用故事来展示自己的优点」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 6,【用故事来展示自己的优点】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 7,【用故事来展示自己的优点】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 8,【用故事来展示自己的优点】练习场景<br><br>1. 学习「用故事来展示自己的优点」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 9,【用故事来展示自己的优点】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 10,【用故事来展示自己的优点】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 11,【用故事来展示自己的优点】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 12,【用故事来展示自己的优点】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 13,【用故事来展示自己的优点】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 14,【用故事来展示自己的优点】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 15,【用故事来展示自己的优点】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
用故事来展示自己的优点,练习场景,【用故事来展示自己的优点】练习场景 16,【用故事来展示自己的优点】练习场景<br><br>场景中应用「用故事来展示自己的优点」？<br><br><i>运用所学的步骤进行练习</i>,用故事来展示自己的优点 美埃米尼亚伊贝拉-教练 学习用故事来展示自己的优点的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 甜橙大王 | - **日期**：
