技能名,卡片类型,正面,背面,标签,出处
合适表达积极情绪和消极情绪,框架概览,【合适表达积极情绪和消极情绪】核心框架,"【核心】合适表达积极情绪和消极情绪<br><br>【是什么】这是什么

基于 [美] 马歇尔·卢森堡《非暴力沟通》中关于「合适表达积极情绪和消极情绪」的核心方法。<br><br>",合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,操作步骤,【合适表达积极情绪和消极情绪】第1步：学习「合适表达积极情绪和消极情绪」的核心要点和关键方法,【合适表达积极情绪和消极情绪】第1步<br><br><b>操作：</b>学习「合适表达积极情绪和消极情绪」的核心要点和关键方法<br><br><i>来源：《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,操作步骤,【合适表达积极情绪和消极情绪】第2步：在真实场景中练习和应用所学内容,【合适表达积极情绪和消极情绪】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,操作步骤,【合适表达积极情绪和消极情绪】第3步：反思总结，将方法内化为自己的能力,【合适表达积极情绪和消极情绪】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,练习场景,【合适表达积极情绪和消极情绪】练习场景 1,【合适表达积极情绪和消极情绪】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,练习场景,【合适表达积极情绪和消极情绪】练习场景 2,【合适表达积极情绪和消极情绪】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,练习场景,【合适表达积极情绪和消极情绪】练习场景 3,【合适表达积极情绪和消极情绪】练习场景<br><br>需要应用「合适表达积极情绪和消极情绪」的各种场景<br><br><i>运用所学的步骤进行练习</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,练习场景,【合适表达积极情绪和消极情绪】练习场景 4,【合适表达积极情绪和消极情绪】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,练习场景,【合适表达积极情绪和消极情绪】练习场景 5,【合适表达积极情绪和消极情绪】练习场景<br><br>教练：「关于「合适表达积极情绪和消极情绪」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
合适表达积极情绪和消极情绪,练习场景,【合适表达积极情绪和消极情绪】练习场景 6,【合适表达积极情绪和消极情绪】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,合适表达积极情绪和消极情绪 美-马歇尔卢森堡-教练 学习合适表达积极情绪和消极情绪的核心要点和关键方法,《非暴力沟通》[美] 马歇尔·卢森堡 | 张连英 | TF2-4
