技能名,卡片类型,正面,背面,标签,出处
立威立规-如何快速征服不服管得下属,框架概览,【立威立规-如何快速征服不服管得下属】核心框架,"【核心】立威立规-如何快速征服不服管得下属<br><br>【是什么】这是什么

基于 汤君健《带团队的方法》中关于「立威立规-如何快速征服不服管得下属」的核心方法。<br><br>",立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,操作步骤,【立威立规-如何快速征服不服管得下属】第1步：学习「立威立规-如何快速征服不服管得下属」的核心要点和关键方法,【立威立规-如何快速征服不服管得下属】第1步<br><br><b>操作：</b>学习「立威立规-如何快速征服不服管得下属」的核心要点和关键方法<br><br><i>来源：《带团队的方法》汤君健 | 吾心光明 | - **日期**：</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,操作步骤,【立威立规-如何快速征服不服管得下属】第2步：在真实场景中练习和应用所学内容,【立威立规-如何快速征服不服管得下属】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《带团队的方法》汤君健 | 吾心光明 | - **日期**：</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,操作步骤,【立威立规-如何快速征服不服管得下属】第3步：反思总结，将方法内化为自己的能力,【立威立规-如何快速征服不服管得下属】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《带团队的方法》汤君健 | 吾心光明 | - **日期**：</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,练习场景,【立威立规-如何快速征服不服管得下属】练习场景 1,【立威立规-如何快速征服不服管得下属】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,练习场景,【立威立规-如何快速征服不服管得下属】练习场景 2,【立威立规-如何快速征服不服管得下属】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,练习场景,【立威立规-如何快速征服不服管得下属】练习场景 3,【立威立规-如何快速征服不服管得下属】练习场景<br><br>需要应用「立威立规-如何快速征服不服管得下属」的各种场景<br><br><i>运用所学的步骤进行练习</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,练习场景,【立威立规-如何快速征服不服管得下属】练习场景 4,【立威立规-如何快速征服不服管得下属】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,练习场景,【立威立规-如何快速征服不服管得下属】练习场景 5,【立威立规-如何快速征服不服管得下属】练习场景<br><br>教练：「关于「立威立规-如何快速征服不服管得下属」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
立威立规-如何快速征服不服管得下属,练习场景,【立威立规-如何快速征服不服管得下属】练习场景 6,【立威立规-如何快速征服不服管得下属】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,立威立规-如何快速征服不服管得下属 汤君健-教练 学习立威立规-如何快速征服不服管得下属的核心要点和关键方法,《带团队的方法》汤君健 | 吾心光明 | - **日期**：
