技能名,卡片类型,正面,背面,标签,出处
三明治技巧,框架概览,【三明治技巧】核心框架,"【核心】三明治技巧<br><br>【是什么】这是什么

基于 吉姆·洛尔《精力管理》中关于「三明治技巧」的核心方法。<br><br>",三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,操作步骤,【三明治技巧】第1步：学习「三明治技巧」的核心要点和关键方法,【三明治技巧】第1步<br><br><b>操作：</b>学习「三明治技巧」的核心要点和关键方法<br><br><i>来源：《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,操作步骤,【三明治技巧】第2步：在真实场景中练习和应用所学内容,【三明治技巧】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,操作步骤,【三明治技巧】第3步：反思总结，将方法内化为自己的能力,【三明治技巧】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 1,【三明治技巧】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 2,【三明治技巧】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 3,【三明治技巧】练习场景<br><br>需要应用「三明治技巧」的各种场景<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 4,【三明治技巧】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 5,【三明治技巧】练习场景<br><br>教练：「关于「三明治技巧」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 6,【三明治技巧】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 7,【三明治技巧】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 8,【三明治技巧】练习场景<br><br>1. 学习「三明治技巧」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 9,【三明治技巧】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
三明治技巧,练习场景,【三明治技巧】练习场景 10,【三明治技巧】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,三明治技巧 吉姆洛尔-教练 学习三明治技巧的核心要点和关键方法,《精力管理》吉姆·洛尔 | 麦田xqr | - **日期**：
