技能名,卡片类型,正面,背面,标签,出处
“自嘲”和“自谦”让弱点成为自己的铠甲,框架概览,【“自嘲”和“自谦”让弱点成为自己的铠甲】核心框架,"【核心】“自嘲”和“自谦”让弱点成为自己的铠甲<br><br>【是什么】这是什么

基于 马东《好好说话》中关于「“自嘲”和“自谦”让弱点成为自己的铠甲」的核心方法。<br><br>",自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,操作步骤,【“自嘲”和“自谦”让弱点成为自己的铠甲】第1步：学习「“自嘲”和“自谦”让弱点成为自己的铠甲」的核心要点和关键方法,【“自嘲”和“自谦”让弱点成为自己的铠甲】第1步<br><br><b>操作：</b>学习「“自嘲”和“自谦”让弱点成为自己的铠甲」的核心要点和关键方法<br><br><i>来源：《好好说话》马东 | 周舟小太阳 | TF3-3</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,操作步骤,【“自嘲”和“自谦”让弱点成为自己的铠甲】第2步：在真实场景中练习和应用所学内容,【“自嘲”和“自谦”让弱点成为自己的铠甲】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《好好说话》马东 | 周舟小太阳 | TF3-3</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,操作步骤,【“自嘲”和“自谦”让弱点成为自己的铠甲】第3步：反思总结，将方法内化为自己的能力,【“自嘲”和“自谦”让弱点成为自己的铠甲】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《好好说话》马东 | 周舟小太阳 | TF3-3</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,练习场景,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景 1,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,练习场景,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景 2,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,练习场景,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景 3,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景<br><br>需要应用「“自嘲”和“自谦”让弱点成为自己的铠甲」的各种场景<br><br><i>运用所学的步骤进行练习</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,练习场景,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景 4,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,练习场景,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景 5,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景<br><br>教练：「关于「“自嘲”和“自谦”让弱点成为自己的铠甲」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
“自嘲”和“自谦”让弱点成为自己的铠甲,练习场景,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景 6,【“自嘲”和“自谦”让弱点成为自己的铠甲】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,自嘲和自谦让弱点成为自己的铠甲 马东-教练 学习自嘲和自谦让弱点成为自己的铠甲的核心要点和关键方法,《好好说话》马东 | 周舟小太阳 | TF3-3
