技能名,卡片类型,正面,背面,标签,出处
做决策之前首先做什么,框架概览,【做决策之前首先做什么】核心框架,"【核心】做决策之前首先做什么<br><br>【是什么】这是什么

基于 约翰·哈蒙德《决策的艺术》中关于「做决策之前首先做什么」的核心方法。<br><br>",做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,操作步骤,【做决策之前首先做什么】第1步：学习「做决策之前首先做什么」的核心要点和关键方法,【做决策之前首先做什么】第1步<br><br><b>操作：</b>学习「做决策之前首先做什么」的核心要点和关键方法<br><br><i>来源：《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,操作步骤,【做决策之前首先做什么】第2步：在真实场景中练习和应用所学内容,【做决策之前首先做什么】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,操作步骤,【做决策之前首先做什么】第3步：反思总结，将方法内化为自己的能力,【做决策之前首先做什么】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 1,【做决策之前首先做什么】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 2,【做决策之前首先做什么】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 3,【做决策之前首先做什么】练习场景<br><br>需要应用「做决策之前首先做什么」的各种场景<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 4,【做决策之前首先做什么】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 5,【做决策之前首先做什么】练习场景<br><br>教练：「关于「做决策之前首先做什么」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 6,【做决策之前首先做什么】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 7,【做决策之前首先做什么】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 8,【做决策之前首先做什么】练习场景<br><br>1. 学习「做决策之前首先做什么」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 9,【做决策之前首先做什么】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 10,【做决策之前首先做什么】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 11,【做决策之前首先做什么】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 12,【做决策之前首先做什么】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 13,【做决策之前首先做什么】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 14,【做决策之前首先做什么】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
做决策之前首先做什么,练习场景,【做决策之前首先做什么】练习场景 15,【做决策之前首先做什么】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,做决策之前首先做什么 约翰哈蒙德-教练 学习做决策之前首先做什么的核心要点和关键方法,《决策的艺术》约翰·哈蒙德 | 赵德祝 | - **日期**：
