技能名,卡片类型,正面,背面,标签,出处
用故事打动人心,框架概览,【用故事打动人心】核心框架,"【核心】用故事打动人心<br><br>【是什么】这是什么

基于 安妮特·西蒙斯《你的团队需要一个会讲故事的人》中关于「用故事打动人心」的核心方法。<br><br>",用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,操作步骤,【用故事打动人心】第1步：学习「用故事打动人心」的核心要点和关键方法,【用故事打动人心】第1步<br><br><b>操作：</b>学习「用故事打动人心」的核心要点和关键方法<br><br><i>来源：《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,操作步骤,【用故事打动人心】第2步：在真实场景中练习和应用所学内容,【用故事打动人心】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,操作步骤,【用故事打动人心】第3步：反思总结，将方法内化为自己的能力,【用故事打动人心】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 1,【用故事打动人心】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 2,【用故事打动人心】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 3,【用故事打动人心】练习场景<br><br>需要应用「用故事打动人心」的各种场景<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 4,【用故事打动人心】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 5,【用故事打动人心】练习场景<br><br>教练：「关于「用故事打动人心」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 6,【用故事打动人心】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 7,【用故事打动人心】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 8,【用故事打动人心】练习场景<br><br>1. 学习「用故事打动人心」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 9,【用故事打动人心】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 10,【用故事打动人心】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 11,【用故事打动人心】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 12,【用故事打动人心】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 13,【用故事打动人心】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 14,【用故事打动人心】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 15,【用故事打动人心】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 16,【用故事打动人心】练习场景<br><br>场景中应用「用故事打动人心」？<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 17,【用故事打动人心】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 18,【用故事打动人心】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 19,【用故事打动人心】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 20,【用故事打动人心】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,练习场景,【用故事打动人心】练习场景 21,【用故事打动人心】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
用故事打动人心,教练提示,【用故事打动人心】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「用故事打动人心」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,用故事打动人心 安妮特西蒙斯-教练 学习用故事打动人心的核心要点和关键方法,《你的团队需要一个会讲故事的人》安妮特·西蒙斯 | 黄茂林 | - **日期**：
