技能名,卡片类型,正面,背面,标签,出处
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,框架概览,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】核心框架,"【核心】用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」<br><br>【是什么】这是什么

基于 盖瑞·查普曼《爱的五种语言》中关于「用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」」的核心方法。<br><br>",用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,操作步骤,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】第1步：学习「用“心”陪伴，用“行”服务,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】第1步<br><br><b>操作：</b>学习「用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」」的核心要点和关键方法<br><br><i>来源：《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,操作步骤,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】第2步：在真实场景中练习和应用所学内容,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,操作步骤,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】第3步：反思总结，将方法内化为自己的能力,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,练习场景,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景 1,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,练习场景,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景 2,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,练习场景,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景 3,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景<br><br>需要应用「用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」」的各种场景<br><br><i>运用所学的步骤进行练习</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,练习场景,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景 4,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,练习场景,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景 5,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景<br><br>教练：「关于「用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」,练习场景,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景 6,【用“心”陪伴，用“行”服务——掌握「服务的行动」与「精心的时刻」】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,用心陪伴用行服务掌握服务的行动与精心的时刻 盖瑞查普曼-教练 学习用心陪伴用行服务,《爱的五种语言》盖瑞·查普曼 | 叶雨 | TF3-3
