技能名,卡片类型,正面,背面,标签,出处
逻辑性语言的三个步骤,框架概览,【逻辑性语言的三个步骤】核心框架,"【核心】逻辑性语言的三个步骤<br><br>【是什么】这是什么

基于 [日] 下地宽也《逻辑思维，只要5步》中关于「逻辑性语言的三个步骤」的核心方法。<br><br>",逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,操作步骤,【逻辑性语言的三个步骤】第1步：理解「逻辑性语言的三个步骤」的核心概念和原理,【逻辑性语言的三个步骤】第1步<br><br><b>操作：</b>理解「逻辑性语言的三个步骤」的核心概念和原理<br><br><i>来源：《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,操作步骤,【逻辑性语言的三个步骤】第2步：按照方法步骤逐步练习和应用,【逻辑性语言的三个步骤】第2步<br><br><b>操作：</b>按照方法步骤逐步练习和应用<br><br><i>来源：《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,操作步骤,【逻辑性语言的三个步骤】第3步：结合实际场景复盘，形成自己的经验,【逻辑性语言的三个步骤】第3步<br><br><b>操作：</b>结合实际场景复盘，形成自己的经验<br><br><i>来源：《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 1,【逻辑性语言的三个步骤】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 2,【逻辑性语言的三个步骤】练习场景<br><br>需要应用「逻辑性语言的三个步骤」的各种场景<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 3,【逻辑性语言的三个步骤】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 4,【逻辑性语言的三个步骤】练习场景<br><br>教练：「关于「逻辑性语言的三个步骤」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 5,【逻辑性语言的三个步骤】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 6,【逻辑性语言的三个步骤】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 7,【逻辑性语言的三个步骤】练习场景<br><br>1. 理解「逻辑性语言的三个步骤」的核心概念和原理<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 8,【逻辑性语言的三个步骤】练习场景<br><br>2. 按照方法步骤逐步练习和应用<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 9,【逻辑性语言的三个步骤】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
逻辑性语言的三个步骤,练习场景,【逻辑性语言的三个步骤】练习场景 10,【逻辑性语言的三个步骤】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,逻辑性语言的三个步骤 日-下地宽也-教练 理解逻辑性语言的三个步骤的核心概念和原理,《逻辑思维，只要5步》[日] 下地宽也 | 子涵 | - **日期**：
