技能名,卡片类型,正面,背面,标签,出处
提问的威力,框架概览,【提问的威力】核心框架,"【核心】提问的威力<br><br>【是什么】这是什么

基于 [美] 托尼·斯托茨福斯《提问的威力：教练问题全清单》中关于「提问的威力」的核心方法。<br><br>",提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,操作步骤,【提问的威力】第1步：学习「提问的威力」的核心要点和关键方法,【提问的威力】第1步<br><br><b>操作：</b>学习「提问的威力」的核心要点和关键方法<br><br><i>来源：《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,操作步骤,【提问的威力】第2步：在真实场景中练习和应用所学内容,【提问的威力】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,操作步骤,【提问的威力】第3步：反思总结，将方法内化为自己的能力,【提问的威力】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 1,【提问的威力】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 2,【提问的威力】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 3,【提问的威力】练习场景<br><br>需要应用「提问的威力」的各种场景<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 4,【提问的威力】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 5,【提问的威力】练习场景<br><br>教练：「关于「提问的威力」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 6,【提问的威力】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 7,【提问的威力】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 8,【提问的威力】练习场景<br><br>1. 学习「提问的威力」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 9,【提问的威力】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 10,【提问的威力】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 11,【提问的威力】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 12,【提问的威力】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
提问的威力,练习场景,【提问的威力】练习场景 13,【提问的威力】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,提问的威力 美-托尼斯托茨福斯-教练 学习提问的威力的核心要点和关键方法,《提问的威力：教练问题全清单》[美] 托尼·斯托茨福斯 | 周舟小太阳 | - **日期**：
