技能名,卡片类型,正面,背面,标签,出处
TF2-1过级,框架概览,【TF2-1过级】核心框架,"【核心】TF2-1过级<br><br>【是什么】这是什么

基于 [美] 斯图尔特·戴蒙德《沃顿商学院最受欢迎的谈判课》中关于「TF2-1过级」的核心方法。<br><br>",TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,操作步骤,【TF2-1过级】第1步：学习「TF2-1过级」的核心要点和关键方法,【TF2-1过级】第1步<br><br><b>操作：</b>学习「TF2-1过级」的核心要点和关键方法<br><br><i>来源：《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,操作步骤,【TF2-1过级】第2步：在真实场景中练习和应用所学内容,【TF2-1过级】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,操作步骤,【TF2-1过级】第3步：反思总结，将方法内化为自己的能力,【TF2-1过级】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 1,【TF2-1过级】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 2,【TF2-1过级】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 3,【TF2-1过级】练习场景<br><br>需要应用「TF2-1过级」的各种场景<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 4,【TF2-1过级】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 5,【TF2-1过级】练习场景<br><br>教练：「关于「TF2-1过级」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 6,【TF2-1过级】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 7,【TF2-1过级】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 8,【TF2-1过级】练习场景<br><br>1. 学习「TF2-1过级」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 9,【TF2-1过级】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 10,【TF2-1过级】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 11,【TF2-1过级】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 12,【TF2-1过级】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 13,【TF2-1过级】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 14,【TF2-1过级】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 15,【TF2-1过级】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 16,【TF2-1过级】练习场景<br><br>场景中应用「TF2-1过级」？<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 17,【TF2-1过级】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 18,【TF2-1过级】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
TF2-1过级,练习场景,【TF2-1过级】练习场景 19,【TF2-1过级】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,TF2-1过级 美-斯图尔特戴蒙德-教练 学习TF2-1过级的核心要点和关键方法,《沃顿商学院最受欢迎的谈判课》[美] 斯图尔特·戴蒙德 | 超先森 | - **日期**：
