技能名,卡片类型,正面,背面,标签,出处
要事第一,框架概览,【要事第一】核心框架,"【核心】要事第一<br><br>【是什么】这是什么

基于 史蒂芬·柯维《高效能人士的七个习惯》中关于「要事第一」的核心方法。<br><br>",要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,操作步骤,【要事第一】第1步：学习「要事第一」的核心要点和关键方法,【要事第一】第1步<br><br><b>操作：</b>学习「要事第一」的核心要点和关键方法<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,操作步骤,【要事第一】第2步：在真实场景中练习和应用所学内容,【要事第一】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,操作步骤,【要事第一】第3步：反思总结，将方法内化为自己的能力,【要事第一】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 1,【要事第一】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 2,【要事第一】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 3,【要事第一】练习场景<br><br>需要应用「要事第一」的各种场景<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 4,【要事第一】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 5,【要事第一】练习场景<br><br>教练：「关于「要事第一」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 6,【要事第一】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
要事第一,练习场景,【要事第一】练习场景 7,【要事第一】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,要事第一 史蒂芬柯维-教练 学习要事第一的核心要点和关键方法,《高效能人士的七个习惯》史蒂芬·柯维 | 凡尘 | TF2-1
