技能名,卡片类型,正面,背面,标签,出处
先解码，再沟通,框架概览,【先解码，再沟通】核心框架,"【核心】先解码，再沟通<br><br>【是什么】补充

建议补充：【What】这段内容讲的是什么？核心定义 + 关键概念 + 典型示例<br><br>【为什么】补充

建议补充：【Why】为什么这个技能重要？用对比方式 (不用 vs 用的结果差异)",先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 1,【先解码，再沟通】练习场景<br><br>教练：「关于「先解码，再沟通」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 2,【先解码，再沟通】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 3,【先解码，再沟通】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 4,【先解码，再沟通】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 5,【先解码，再沟通】练习场景<br><br>场景：<让用户描述一个真实沟通/应用场景><br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 6,【先解码，再沟通】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 7,【先解码，再沟通】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 8,【先解码，再沟通】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 9,【先解码，再沟通】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 10,【先解码，再沟通】练习场景<br><br>练习场景模板<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 11,【先解码，再沟通】练习场景<br><br>场景 A：<职场场景><br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,练习场景,【先解码，再沟通】练习场景 12,【先解码，再沟通】练习场景<br><br>对话/情境描述...<br><br><i>运用所学的步骤进行练习</i>,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
先解码，再沟通,教练提示,【先解码，再沟通】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「先解码，再沟通」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,先解码再沟通 美-简尼尔森-Jane-Nelsen-教练 正面管教,《正面管教》[美] 简·尼尔森 (Jane Nelsen) | 郏程晓 | TF2-4
