技能名,卡片类型,正面,背面,标签,出处
系统分析与解决问题,框架概览,【系统分析与解决问题】核心框架,"【核心】系统分析与解决问题<br><br>【是什么】这是什么

基于 王世民《思维力：高效的系统思维》中关于「系统分析与解决问题」的核心方法。<br><br>",系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,操作步骤,【系统分析与解决问题】第1步：学习「系统分析与解决问题」的核心要点和关键方法,【系统分析与解决问题】第1步<br><br><b>操作：</b>学习「系统分析与解决问题」的核心要点和关键方法<br><br><i>来源：《思维力：高效的系统思维》王世民 | Journey | - **日期**：</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,操作步骤,【系统分析与解决问题】第2步：在真实场景中练习和应用所学内容,【系统分析与解决问题】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《思维力：高效的系统思维》王世民 | Journey | - **日期**：</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,操作步骤,【系统分析与解决问题】第3步：反思总结，将方法内化为自己的能力,【系统分析与解决问题】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《思维力：高效的系统思维》王世民 | Journey | - **日期**：</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 1,【系统分析与解决问题】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 2,【系统分析与解决问题】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 3,【系统分析与解决问题】练习场景<br><br>需要应用「系统分析与解决问题」的各种场景<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 4,【系统分析与解决问题】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 5,【系统分析与解决问题】练习场景<br><br>教练：「关于「系统分析与解决问题」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 6,【系统分析与解决问题】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 7,【系统分析与解决问题】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 8,【系统分析与解决问题】练习场景<br><br>1. 学习「系统分析与解决问题」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 9,【系统分析与解决问题】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 10,【系统分析与解决问题】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 11,【系统分析与解决问题】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 12,【系统分析与解决问题】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 13,【系统分析与解决问题】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 14,【系统分析与解决问题】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 15,【系统分析与解决问题】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 16,【系统分析与解决问题】练习场景<br><br>场景中应用「系统分析与解决问题」？<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 17,【系统分析与解决问题】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 18,【系统分析与解决问题】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 19,【系统分析与解决问题】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 20,【系统分析与解决问题】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,练习场景,【系统分析与解决问题】练习场景 21,【系统分析与解决问题】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
系统分析与解决问题,教练提示,【系统分析与解决问题】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「系统分析与解决问题」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,系统分析与解决问题 王世民-教练 学习系统分析与解决问题的核心要点和关键方法,《思维力：高效的系统思维》王世民 | Journey | - **日期**：
