技能名,卡片类型,正面,背面,标签,出处
从单机学习到联机协作，用碎片化输出实现效能跃迁,框架概览,【从单机学习到联机协作，用碎片化输出实现效能跃迁】核心框架,"【核心】从单机学习到联机协作，用碎片化输出实现效能跃迁<br><br>【是什么】这是什么

基于 古典《跃迁》中关于「从单机学习到联机协作，用碎片化输出实现效能跃迁」的核心方法。<br><br>",从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,操作步骤,【从单机学习到联机协作，用碎片化输出实现效能跃迁】第1步：学习「从单机学习到联机协作，用碎片化输出实现效能跃迁」的核心要点和关键方法,【从单机学习到联机协作，用碎片化输出实现效能跃迁】第1步<br><br><b>操作：</b>学习「从单机学习到联机协作，用碎片化输出实现效能跃迁」的核心要点和关键方法<br><br><i>来源：《跃迁》古典 | 回也 | TF2-4</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,操作步骤,【从单机学习到联机协作，用碎片化输出实现效能跃迁】第2步：在真实场景中练习和应用所学内容,【从单机学习到联机协作，用碎片化输出实现效能跃迁】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《跃迁》古典 | 回也 | TF2-4</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,操作步骤,【从单机学习到联机协作，用碎片化输出实现效能跃迁】第3步：反思总结，将方法内化为自己的能力,【从单机学习到联机协作，用碎片化输出实现效能跃迁】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《跃迁》古典 | 回也 | TF2-4</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,练习场景,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景 1,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,练习场景,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景 2,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,练习场景,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景 3,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景<br><br>需要应用「从单机学习到联机协作，用碎片化输出实现效能跃迁」的各种场景<br><br><i>运用所学的步骤进行练习</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,练习场景,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景 4,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,练习场景,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景 5,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景<br><br>教练：「关于「从单机学习到联机协作，用碎片化输出实现效能跃迁」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
从单机学习到联机协作，用碎片化输出实现效能跃迁,练习场景,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景 6,【从单机学习到联机协作，用碎片化输出实现效能跃迁】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,从单机学习到联机协作用碎片化输出实现效能跃迁 古典-教练 学习从单机学习到联机协作用碎片化输出实现效能跃迁的核心要点和关键方法,《跃迁》古典 | 回也 | TF2-4
