技能名,卡片类型,正面,背面,标签,出处
管理,框架概览,【管理】核心框架,"【核心】管理<br><br>【是什么】这是什么

基于 【美】埃米尼亚·伊贝拉《逆向管理》中关于「管理」的核心方法。<br><br>",管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,操作步骤,【管理】第1步：学习「管理」的核心要点和关键方法,【管理】第1步<br><br><b>操作：</b>学习「管理」的核心要点和关键方法<br><br><i>来源：《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,操作步骤,【管理】第2步：在真实场景中练习和应用所学内容,【管理】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,操作步骤,【管理】第3步：反思总结，将方法内化为自己的能力,【管理】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,练习场景,【管理】练习场景 1,【管理】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,练习场景,【管理】练习场景 2,【管理】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,练习场景,【管理】练习场景 3,【管理】练习场景<br><br>需要应用「管理」的各种场景<br><br><i>运用所学的步骤进行练习</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,练习场景,【管理】练习场景 4,【管理】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,练习场景,【管理】练习场景 5,【管理】练习场景<br><br>教练：「关于「管理」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
管理,练习场景,【管理】练习场景 6,【管理】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,管理 美埃米尼亚伊贝拉-教练 学习管理的核心要点和关键方法,《逆向管理》【美】埃米尼亚·伊贝拉 | 烟紫雪 | - **日期**：
