技能名,卡片类型,正面,背面,标签,出处
感受的预防针,框架概览,【感受的预防针】核心框架,"【核心】感受的预防针<br><br>【是什么】这是什么

基于 马东《好好说话》中关于「感受的预防针」的核心方法。<br><br>",感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,操作步骤,【感受的预防针】第1步：学习「感受的预防针」的核心要点和关键方法,【感受的预防针】第1步<br><br><b>操作：</b>学习「感受的预防针」的核心要点和关键方法<br><br><i>来源：《好好说话》马东 | echo艾可 | TF3-2</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,操作步骤,【感受的预防针】第2步：在真实场景中练习和应用所学内容,【感受的预防针】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《好好说话》马东 | echo艾可 | TF3-2</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,操作步骤,【感受的预防针】第3步：反思总结，将方法内化为自己的能力,【感受的预防针】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《好好说话》马东 | echo艾可 | TF3-2</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 1,【感受的预防针】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 2,【感受的预防针】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 3,【感受的预防针】练习场景<br><br>需要应用「感受的预防针」的各种场景<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 4,【感受的预防针】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 5,【感受的预防针】练习场景<br><br>教练：「关于「感受的预防针」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 6,【感受的预防针】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 7,【感受的预防针】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 8,【感受的预防针】练习场景<br><br>1. 学习「感受的预防针」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 9,【感受的预防针】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 10,【感受的预防针】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
感受的预防针,练习场景,【感受的预防针】练习场景 11,【感受的预防针】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,感受的预防针 马东-教练 学习感受的预防针的核心要点和关键方法,《好好说话》马东 | echo艾可 | TF3-2
