技能名,卡片类型,正面,背面,标签,出处
3个问题解决对立,框架概览,【3个问题解决对立】核心框架,"【核心】3个问题解决对立<br><br>【是什么】这是什么

基于 [日] 八幡纰芦史《重要的事情说3点》中关于「3个问题解决对立」的核心方法。<br><br>",3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,操作步骤,【3个问题解决对立】第1步：学习「3个问题解决对立」的核心要点和关键方法,【3个问题解决对立】第1步<br><br><b>操作：</b>学习「3个问题解决对立」的核心要点和关键方法<br><br><i>来源：《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,操作步骤,【3个问题解决对立】第2步：在真实场景中练习和应用所学内容,【3个问题解决对立】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,操作步骤,【3个问题解决对立】第3步：反思总结，将方法内化为自己的能力,【3个问题解决对立】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 1,【3个问题解决对立】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 2,【3个问题解决对立】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 3,【3个问题解决对立】练习场景<br><br>需要应用「3个问题解决对立」的各种场景<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 4,【3个问题解决对立】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 5,【3个问题解决对立】练习场景<br><br>教练：「关于「3个问题解决对立」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 6,【3个问题解决对立】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 7,【3个问题解决对立】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
3个问题解决对立,练习场景,【3个问题解决对立】练习场景 8,【3个问题解决对立】练习场景<br><br>1. 学习「3个问题解决对立」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,3个问题解决对立 日-八幡纰芦史-教练 学习3个问题解决对立的核心要点和关键方法,《重要的事情说3点》[日] 八幡纰芦史 | 润禾 | TF1-1
