技能名,卡片类型,正面,背面,标签,出处
通过第3选择与他人产生协同,框架概览,【通过第3选择与他人产生协同】核心框架,"【核心】通过第3选择与他人产生协同<br><br>【是什么】这是什么

基于 史蒂芬·柯维《第3选择：解决人生所有难题的关键思维》中关于「通过第3选择与他人产生协同」的核心方法。<br><br>",通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,操作步骤,【通过第3选择与他人产生协同】第1步：学习「通过第3选择与他人产生协同」的核心要点和关键方法,【通过第3选择与他人产生协同】第1步<br><br><b>操作：</b>学习「通过第3选择与他人产生协同」的核心要点和关键方法<br><br><i>来源：《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,操作步骤,【通过第3选择与他人产生协同】第2步：在真实场景中练习和应用所学内容,【通过第3选择与他人产生协同】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,操作步骤,【通过第3选择与他人产生协同】第3步：反思总结，将方法内化为自己的能力,【通过第3选择与他人产生协同】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 1,【通过第3选择与他人产生协同】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 2,【通过第3选择与他人产生协同】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 3,【通过第3选择与他人产生协同】练习场景<br><br>需要应用「通过第3选择与他人产生协同」的各种场景<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 4,【通过第3选择与他人产生协同】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 5,【通过第3选择与他人产生协同】练习场景<br><br>教练：「关于「通过第3选择与他人产生协同」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 6,【通过第3选择与他人产生协同】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 7,【通过第3选择与他人产生协同】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 8,【通过第3选择与他人产生协同】练习场景<br><br>1. 学习「通过第3选择与他人产生协同」的核心要点和关键方法<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 9,【通过第3选择与他人产生协同】练习场景<br><br>2. 在真实场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 10,【通过第3选择与他人产生协同】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 11,【通过第3选择与他人产生协同】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 12,【通过第3选择与他人产生协同】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
通过第3选择与他人产生协同,练习场景,【通过第3选择与他人产生协同】练习场景 13,【通过第3选择与他人产生协同】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,通过第3选择与他人产生协同 史蒂芬柯维-教练 学习通过第3选择与他人产生协同的核心要点和关键方法,《第3选择：解决人生所有难题的关键思维》史蒂芬·柯维 | 云卷云舒 | - **日期**：
