技能名,卡片类型,正面,背面,标签,出处
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,框架概览,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】核心框架,"【核心】为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力<br><br>【是什么】补充

建议补充：【What】这段内容讲的是什么？核心定义 + 关键概念 + 典型示例<br><br>【为什么】补充

建议补充：【Why】为什么这个技能重要？用对比方式 (不用 vs 用的结果差异)",为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 1,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>教练：「关于「为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 2,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 3,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 4,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 5,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>场景：<让用户描述一个真实沟通/应用场景><br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 6,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 7,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 8,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 9,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 10,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>练习场景模板<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 11,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>场景 A：<职场场景><br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,练习场景,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景 12,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】练习场景<br><br>对话/情境描述...<br><br><i>运用所学的步骤进行练习</i>,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力,教练提示,【为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「为什么大家都爱打高尔夫>高尔夫中蕴涵的五大动力」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,为什么大家都爱打高尔夫高尔夫中蕴涵的五大动力 日-堀之内克彦-教练 10人以下小团队管理手册,《10人以下小团队管理手册》[日] 堀之内克彦 | 万俊 | - **日期**：
