技能名,卡片类型,正面,背面,标签,出处
如何进行快速表达,框架概览,【如何进行快速表达】核心框架,"【核心】如何进行快速表达<br><br>【是什么】这是什么

基于 [日] 下地宽也《逻辑思维，只要5步》中关于「如何进行快速表达」的核心方法。<br><br>",如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,操作步骤,【如何进行快速表达】第1步：学习「如何进行快速表达」的核心要点和关键方法,【如何进行快速表达】第1步<br><br><b>操作：</b>学习「如何进行快速表达」的核心要点和关键方法<br><br><i>来源：《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,操作步骤,【如何进行快速表达】第2步：在真实场景中练习和应用所学内容,【如何进行快速表达】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,操作步骤,【如何进行快速表达】第3步：反思总结，将方法内化为自己的能力,【如何进行快速表达】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,练习场景,【如何进行快速表达】练习场景 1,【如何进行快速表达】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,练习场景,【如何进行快速表达】练习场景 2,【如何进行快速表达】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,练习场景,【如何进行快速表达】练习场景 3,【如何进行快速表达】练习场景<br><br>需要应用「如何进行快速表达」的各种场景<br><br><i>运用所学的步骤进行练习</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,练习场景,【如何进行快速表达】练习场景 4,【如何进行快速表达】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,练习场景,【如何进行快速表达】练习场景 5,【如何进行快速表达】练习场景<br><br>教练：「关于「如何进行快速表达」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
如何进行快速表达,练习场景,【如何进行快速表达】练习场景 6,【如何进行快速表达】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,如何进行快速表达 日-下地宽也-教练 学习如何进行快速表达的核心要点和关键方法,《逻辑思维，只要5步》[日] 下地宽也 | 遇见十三 | - **日期**：
