技能名,卡片类型,正面,背面,标签,出处
适合在职人士的投资方法,框架概览,【适合在职人士的投资方法】核心框架,"【核心】适合在职人士的投资方法<br><br>【是什么】这是什么

基于 本杰明·格雷厄姆《聪明的投资者》中关于「适合在职人士的投资方法」的核心方法。<br><br>",适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,操作步骤,【适合在职人士的投资方法】第1步：理解「适合在职人士的投资方法」的核心概念和原理,【适合在职人士的投资方法】第1步<br><br><b>操作：</b>理解「适合在职人士的投资方法」的核心概念和原理<br><br><i>来源：《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,操作步骤,【适合在职人士的投资方法】第2步：按照方法步骤逐步练习和应用,【适合在职人士的投资方法】第2步<br><br><b>操作：</b>按照方法步骤逐步练习和应用<br><br><i>来源：《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,操作步骤,【适合在职人士的投资方法】第3步：结合实际场景复盘，形成自己的经验,【适合在职人士的投资方法】第3步<br><br><b>操作：</b>结合实际场景复盘，形成自己的经验<br><br><i>来源：《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,练习场景,【适合在职人士的投资方法】练习场景 1,【适合在职人士的投资方法】练习场景<br><br>3. 结合实际场景复盘，形成自己的经验<br><br><i>运用所学的步骤进行练习</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,练习场景,【适合在职人士的投资方法】练习场景 2,【适合在职人士的投资方法】练习场景<br><br>需要应用「适合在职人士的投资方法」的各种场景<br><br><i>运用所学的步骤进行练习</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,练习场景,【适合在职人士的投资方法】练习场景 3,【适合在职人士的投资方法】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,练习场景,【适合在职人士的投资方法】练习场景 4,【适合在职人士的投资方法】练习场景<br><br>教练：「关于「适合在职人士的投资方法」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,练习场景,【适合在职人士的投资方法】练习场景 5,【适合在职人士的投资方法】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
适合在职人士的投资方法,练习场景,【适合在职人士的投资方法】练习场景 6,【适合在职人士的投资方法】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,适合在职人士的投资方法 本杰明格雷厄姆-教练 理解适合在职人士的投资方法的核心概念和原理,《聪明的投资者》本杰明·格雷厄姆 | 李明轩 | - **日期**：
