技能名,卡片类型,正面,背面,标签,出处
三步法,框架概览,【三步法】核心框架,"【核心】三步法<br><br>【是什么】这是什么

基于 李忠秋《结构思考力》中关于「三步法」的核心方法。<br><br>",三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,操作步骤,【三步法】第1步：第1步：按照三步法的要求逐步执行,【三步法】第1步<br><br><b>操作：</b>第1步：按照三步法的要求逐步执行<br><br><i>来源：《结构思考力》李忠秋 | 乐乐吖 | TF2-2</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,操作步骤,【三步法】第2步：第2步：按照三步法的要求逐步执行,【三步法】第2步<br><br><b>操作：</b>第2步：按照三步法的要求逐步执行<br><br><i>来源：《结构思考力》李忠秋 | 乐乐吖 | TF2-2</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,操作步骤,【三步法】第3步：第3步：按照三步法的要求逐步执行,【三步法】第3步<br><br><b>操作：</b>第3步：按照三步法的要求逐步执行<br><br><i>来源：《结构思考力》李忠秋 | 乐乐吖 | TF2-2</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 1,【三步法】练习场景<br><br>需要应用「三步法」的各种场景<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 2,【三步法】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 3,【三步法】练习场景<br><br>教练：「关于「三步法」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 4,【三步法】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 5,【三步法】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 6,【三步法】练习场景<br><br>1. 第1步：按照三步法的要求逐步执行<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 7,【三步法】练习场景<br><br>2. 第2步：按照三步法的要求逐步执行<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 8,【三步法】练习场景<br><br>3. 第3步：按照三步法的要求逐步执行<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 9,【三步法】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 10,【三步法】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 11,【三步法】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 12,【三步法】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 13,【三步法】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 14,【三步法】练习场景<br><br>场景中应用「三步法」？<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 15,【三步法】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 16,【三步法】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 17,【三步法】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 18,【三步法】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,练习场景,【三步法】练习场景 19,【三步法】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
三步法,教练提示,【三步法】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「三步法」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,三步法 李忠秋-教练 第1步按照三步法的要求逐步执行,《结构思考力》李忠秋 | 乐乐吖 | TF2-2
