技能名,卡片类型,正面,背面,标签,出处
理性决策，驾驭未来,框架概览,【理性决策，驾驭未来】核心框架,"【核心】理性决策，驾驭未来<br><br>【是什么】这是什么

基于 [美]斯蒂芬·P·罗宾斯（Stephen P.Robbins）《做出好决定》中关于「理性决策，驾驭未来」的核心方法。<br><br>",理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,操作步骤,【理性决策，驾驭未来】第1步：学习「理性决策，驾驭未来」的核心要点和关键方法,【理性决策，驾驭未来】第1步<br><br><b>操作：</b>学习「理性决策，驾驭未来」的核心要点和关键方法<br><br><i>来源：《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,操作步骤,【理性决策，驾驭未来】第2步：在真实场景中练习和应用所学内容,【理性决策，驾驭未来】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,操作步骤,【理性决策，驾驭未来】第3步：反思总结，将方法内化为自己的能力,【理性决策，驾驭未来】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,练习场景,【理性决策，驾驭未来】练习场景 1,【理性决策，驾驭未来】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,练习场景,【理性决策，驾驭未来】练习场景 2,【理性决策，驾驭未来】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,练习场景,【理性决策，驾驭未来】练习场景 3,【理性决策，驾驭未来】练习场景<br><br>需要应用「理性决策，驾驭未来」的各种场景<br><br><i>运用所学的步骤进行练习</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,练习场景,【理性决策，驾驭未来】练习场景 4,【理性决策，驾驭未来】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,练习场景,【理性决策，驾驭未来】练习场景 5,【理性决策，驾驭未来】练习场景<br><br>教练：「关于「理性决策，驾驭未来」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
理性决策，驾驭未来,练习场景,【理性决策，驾驭未来】练习场景 6,【理性决策，驾驭未来】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,理性决策驾驭未来 美斯蒂芬P罗宾斯Stephen-PRobbins-教练 学习理性决策驾驭未来的核心要点和关键方法,《做出好决定》[美]斯蒂芬·P·罗宾斯（Stephen P.Robbins） | 保洁大叔 | TF3-2
